,Vegetation,WF_PM25,RX_PM25,WF_PM10,RX_PM10,WF_CO,RX_CO,WF_NOx,RX_NOx,WF_NH3,RX_NH3,WF_SO2,RX_SO2,WF_VOC,RX_VOC,WF_HEAT,RX_HEAT,WF_CONSF,RX_CONSF
243,Pitch pine / Scrub oak forest,0.08724,0.056331,0.102942,0.06647,0.98804,0.619366,0.016194,0.619366,0.016274,0.010238,0.00826,0.005838,0.23387,0.147208,345811.5686,345811.5686,9.248828325,4.566839086
264,Post oak - Blackjack oak forest,0.082921,0.032446,0.097843,0.038292,0.855206,0.333278,0.023807,0.333278,0.014267,0.00556,0.01013,0.004006,0.205166,0.079995,540475.9987,540475.9987,9.533037404,3.800630523
265,Balsam fir - White spruce - Mixed hardwoods forest,0.302726,0.134131,0.357215,0.158275,3.615141,1.587828,0.037509,1.587828,0.059101,0.025986,0.023552,0.010814,0.849627,0.373605,727375.0023,727375.0023,,
266,Sugar maple - Basswood forest,0.218474,0.090667,0.257802,0.106994,2.444125,1.041814,0.043618,1.041814,0.040321,0.01712,0.021515,0.00818,0.579514,0.246109,931168.6612,931168.6612,15.66568291,5.138411474
267,American beech - Yellow birch - Sugar maple - Red spruce forest,0.246992,0.10159,0.29146,0.119876,2.873366,1.19766,0.038259,1.19766,0.047139,0.019617,0.021302,0.008328,0.677651,0.281951,783242.5028,783242.5028,,
268,American beech - Yellow birch - Sugar maple - Eastern hemlock forest,0.46973,0.153585,0.554266,0.181236,5.627989,1.807983,0.056343,1.807983,0.091972,0.029618,0.036049,0.012668,1.322112,0.425717,976388.3785,976388.3785,15.18057618,6.562543967
269,Sugar maple - Yellow poplar - American beech - Oak forest,0.651558,0.170322,0.76884,0.200981,7.6784,1.969427,0.091017,1.969427,0.125767,0.032341,0.053496,0.015017,1.807739,0.46485,1717642.438,1717642.438,27.41426145,9.038287348
270,Red spruce - Fraser fir / Rhododendron forest,0.76501,0.589936,0.90271,0.696125,8.635481,6.523874,0.144962,6.523874,0.142261,0.107786,0.07319,0.060138,2.044944,1.549332,3077199.163,3077199.163,55.36462208,49.75709709
272,Red mangrove - Black mangrove forest,5.118692,5.107479,6.040052,6.026837,63.881325,63.758873,0.358216,63.758873,1.038491,1.036459,0.323069,0.321883,14.928216,14.899093,5449466.615,5449466.615,20.27261589,19.03219222
273,Engelmann spruce - Douglas-fir - White fir - Interior ponderosa pine forest,0.430534,0.148921,0.50803,0.175733,5.118846,1.720632,0.055613,1.720632,0.08373,0.028252,0.034114,0.013168,1.203722,0.406168,1048487.926,1048487.926,15.87777846,7.970335312
274,American beech - Sugar maple forest,0.226607,0.084356,0.267407,0.099535,2.52302,0.968535,0.046449,0.968535,0.041645,0.015916,0.022637,0.007624,0.598619,0.228818,1000150.853,1000150.853,,
275,Chestnut oak - White oak - Red oak forest,0.173331,0.094099,0.204541,0.111032,1.830708,0.982654,0.045471,0.982654,0.030445,0.016366,0.020014,0.011168,0.43764,0.235302,1015527.953,1015527.953,17.79985311,10.21467635
276,Oak - Pine - Magnolia forest,0.246876,0.039465,0.291318,0.046568,2.797132,0.426234,0.045744,0.426234,0.046059,0.007067,0.023334,0.004302,0.662041,0.101564,952362.0028,952362.0028,15.95290329,3.586409358
279,Black spruce - Northern white cedar - Larch forest,5.840682,5.789187,6.891995,6.83124,73.216204,72.634451,0.376198,72.634451,1.189562,1.179985,0.359767,0.354861,17.100068,16.962313,3641863.405,3641863.405,28.34967338,24.940311
280,Bluestem - Gulf cordgrass grassland,0.024606,0.024487,0.029042,0.028897,0.250087,0.248862,0.007445,0.248862,0.004188,0.004159,0.003113,0.003098,0.060129,0.059832,169906.3495,169906.3495,3.598780524,3.450726557
281,Shortleaf pine - Post oak - Black oak forest,0.146498,0.079153,0.172872,0.093398,1.631229,0.900603,0.030006,0.900603,0.026922,0.014819,0.01463,0.007373,0.387018,0.213035,644032.0204,644032.0204,10.88561774,4.925100043
282,Loblolly pine forest,0.29035,0.131287,0.3426,0.154916,3.398976,1.489788,0.042833,1.489788,0.055722,0.024529,0.024466,0.012346,0.800936,0.352539,878672.3712,878672.3712,,
283,Willow oak - Laurel oak - Water oak forest,0.16155,0.051944,0.190641,0.061292,1.723651,0.5715,0.040638,0.5715,0.028623,0.00945,0.018191,0.005375,0.411449,0.135817,902030.3193,902030.3193,15.7335156,4.198176497
284,Green ash - American elm - Silver maple - Cottonwood forest,0.182716,0.060343,0.215605,0.071206,2.041457,0.696064,0.036743,0.696064,0.033673,0.01143,0.018059,0.00537,0.484124,0.164347,790308.8949,790308.8949,16.27869353,3.407956797
286,Ponderosa pine - limber pine forest,0.398409,0.294076,0.470122,0.347015,4.855735,3.587963,0.039547,3.587963,0.07918,0.058501,0.028322,0.020804,1.138159,0.840891,657967.5812,657967.5812,11.64548146,6.253705744
287,Eastern white pine - Eastern hemlock forest,0.122078,0.03348,0.144047,0.039509,1.381558,0.386434,0.022774,0.386434,0.02275,0.006349,0.011583,0.002967,0.327057,0.091234,484018.8128,484018.8128,12.12700753,1.944332974
288,Bald-cypress - Water tupelo forest,0.145091,0.075595,0.171208,0.089203,1.67206,0.914159,0.024056,0.914159,0.027469,0.014926,0.01295,0.005573,0.394841,0.214489,478956.8415,478956.8415,7.978707882,2.026131706
289,Pond-cypress / Muhlenbergia - Sawgrass savanna,0.176063,0.047912,0.207749,0.056535,2.153841,0.552169,0.016665,0.552169,0.035101,0.00907,0.012289,0.004276,0.50461,0.130386,312883.2424,312883.2424,,
291,Longleaf pine - Slash pine / Saw palmetto forest,0.132254,0.108948,0.156068,0.128555,1.370397,1.113698,0.03735,1.113698,0.022842,0.01861,0.015994,0.013593,0.328535,0.267533,845186.7557,845186.7557,14.89596222,13.02281366
301,California Central Valley riparian woodland or shrubland,0.077029,0.014758,0.090899,0.017418,0.825316,0.157301,0.019027,0.157301,0.01369,0.002616,0.008574,0.001662,0.196882,0.037552,424300.9263,424300.9263,7.653528133,1.487277613
302,Intermountain montane subalpine riparian grassland,0.010658,0.010288,0.012579,0.012143,0.108391,0.104631,0.003209,0.104631,0.001816,0.001745,0.001336,0.001301,0.026063,0.025153,73343.11535,73343.11535,1.30028208,1.255846521
303,Warm desert riparian woodland or shrubland,0.056079,0.012707,0.066178,0.014997,0.608785,0.134505,0.01305,0.134505,0.010081,0.002236,0.006027,0.001454,0.144963,0.032141,289133.156,289133.156,4.905623542,1.264878694
304,Conifer swamp forest,0.634376,0.397628,0.748563,0.469203,7.725255,4.825479,0.063616,4.825479,0.12598,0.078729,0.045269,0.028843,1.810952,1.131699,1042903.185,1042903.185,14.33077062,9.814994378
305,Red alder forest,0.20697,0.107338,0.244217,0.126658,2.370753,1.262031,0.035772,1.262031,0.038976,0.020677,0.018869,0.008895,0.560292,0.297207,730456.4118,730456.4118,12.09683673,4.66091529
306,Knobcone pine forest,0.438438,0.262084,0.517363,0.309272,5.307281,3.184966,0.047165,3.184966,0.086618,0.051949,0.03216,0.018888,1.245101,0.746817,804268.1326,804268.1326,11.48703074,6.25438188
307,Palo verde ahrubland,0.002148,0.002099,0.002534,0.002484,0.021811,0.021375,0.000648,0.021375,0.000367,0.000353,0.000263,0.000267,0.005246,0.00514,14712.04525,14712.04525,0.403983023,0.403983023
308,Low sagebrush shrubland,0.016186,0.016182,0.019095,0.019097,0.165283,0.165284,0.004811,0.165284,0.002759,0.00276,0.002024,0.00202,0.039713,0.03971,109701.0565,109701.0565,1.940944547,1.940944547
309,Blackbrush shrubland,0.003501,0.003495,0.004131,0.004124,0.035593,0.035543,0.001054,0.035543,0.000593,0.000594,0.000433,0.000437,0.008554,0.008548,24082.81968,24082.81968,0.39134722,0.39134722
310,Greasewood shrubland,0.011624,0.011582,0.013712,0.013668,0.119702,0.119333,0.003351,0.119333,0.001993,0.001989,0.001416,0.001424,0.028726,0.028627,76169.65844,76169.65844,1.341465967,1.33759885
